Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,37.69242648564955,107.86679845910656,Axial_Displacement
10.233402121916416,37.44317284447226,106.91897157861877,Axial_Displacement
10.472251898884348,36.36372873945175,104.59301047810663,Axial_Displacement
10.716676480328632,36.83944268099357,105.68216893434546,Axial_Displacement
10.966805983368683,36.45473430255438,104.8389019231019,Axial_Displacement
11.222773562085075,36.16668369375209,103.82347008533002,Axial_Displacement
11.484715478402896,35.95410102256081,103.66340021927584,Axial_Displacement
11.752771174629451,35.46319439764315,102.71199457458256,Axial_Displacement
12.02708334768512,35.86195626996129,102.74992656138792,Axial_Displacement
12.307798025066653,34.96568418769307,100.77655480591986,Axial_Displacement
12.595064642583576,35.15043434578473,100.98975605468046,Axial_Displacement
12.889036123908928,35.10231631437908,100.96621492755604,Axial_Displacement
13.1898689619867,34.81047140046668,100.10267788810616,Axial_Displacement
13.497723302339423,34.56558142147182,99.1084262264729,Axial_Displacement
13.812763028320092,34.242895204068155,97.89289718657126,Axial_Displacement
14.135155848353955,34.80269971713108,98.81445300893118,Axial_Displacement
14.465073385216463,34.18329025043482,98.26766053134315,Axial_Displacement
14.802691267395094,33.59455302983893,96.38609642865792,Axial_Displacement
15.148189222583458,33.74803809655611,96.68425239831312,Axial_Displacement
15.501751173357706,33.77692317784546,96.653188834546,Axial_Displacement
15.863565335085903,32.95664066464095,93.9276352333908,Axial_Displacement
16.23382431612278,33.306957463739955,94.96209963289836,Axial_Displacement
16.61272522034293,33.34610939725498,95.36301924216252,Axial_Displacement
17.000469752067172,32.780598025153594,94.15066859074938,Axial_Displacement
17.397264323438016,32.649973985521946,93.87780677031866,Axial_Displacement
17.803320164301137,32.72380189419844,93.50047096039248,Axial_Displacement
18.21885343465167,32.03768433070601,91.67453773341587,Axial_Displacement
18.644085339704866,31.988786329115214,91.23089818556568,Axial_Displacement
19.079242247652655,31.7713994124812,90.91017538173156,Axial_Displacement
19.524555810168607,31.699369129134595,90.40163185669476,Axial_Displacement
19.980263085725507,31.803916444806863,90.37986145478494,Axial_Displacement
20.446606665791165,30.765628413459154,88.67786627477373,Axial_Displacement
20.92383480396977,31.16192166902216,90.00514564033642,Axial_Displacement
21.41220154815729,30.75634782003264,88.12556945208694,Axial_Displacement
21.91196687578149,30.41184619881684,87.08266670158483,Axial_Displacement
22.42339683219846,30.6631391086259,87.38850319189109,Axial_Displacement
22.946763672319364,30.293834196841335,86.6345441120156,Axial_Displacement
23.48234600554277,30.072190354378087,85.97988649459312,Axial_Displacement
24.030428944069683,29.82202968944237,85.32241392478295,Axial_Displacement
