Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,37.85951874639737,111.08742894950306,Axial_Displacement
10.233402121916416,37.15295157160878,109.76555085447649,Axial_Displacement
10.472251898884348,37.46872151255643,110.94483583030159,Axial_Displacement
10.716676480328632,37.131175993622854,109.79631757562628,Axial_Displacement
10.966805983368683,36.82341357895648,108.26642288932695,Axial_Displacement
11.222773562085075,36.35344206174524,107.86676526731408,Axial_Displacement
11.484715478402896,36.57770535330302,108.36778492981097,Axial_Displacement
11.752771174629451,36.61494510654059,108.28400543819001,Axial_Displacement
12.02708334768512,35.6383175141917,105.57227848645829,Axial_Displacement
12.307798025066653,36.02281671861976,106.39236342659842,Axial_Displacement
12.595064642583576,35.6507881687064,106.62912650263021,Axial_Displacement
12.889036123908928,35.534255438060924,104.67963241317233,Axial_Displacement
13.1898689619867,35.58064416276862,104.83618815587369,Axial_Displacement
13.497723302339423,35.29234157207775,104.02888552134175,Axial_Displacement
13.812763028320092,35.75416944001888,105.13829614597492,Axial_Displacement
14.135155848353955,34.86881032820437,103.12528748824187,Axial_Displacement
14.465073385216463,34.50888879870582,102.15104295244784,Axial_Displacement
14.802691267395094,34.01088484463392,100.050484649168,Axial_Displacement
15.148189222583458,34.19174330283765,100.91979163701609,Axial_Displacement
15.501751173357706,34.31750015526132,101.15386575389662,Axial_Displacement
15.863565335085903,33.494850963003415,98.28871765239943,Axial_Displacement
16.23382431612278,34.05056758842392,100.41695861364323,Axial_Displacement
16.61272522034293,33.33254400891566,98.873758965346,Axial_Displacement
17.000469752067172,32.80490427762801,95.9245809729853,Axial_Displacement
17.397264323438016,32.96337530201087,96.95776311748578,Axial_Displacement
17.803320164301137,33.23182251486941,98.46890353459395,Axial_Displacement
18.21885343465167,32.17230612312794,95.62588389949914,Axial_Displacement
18.644085339704866,32.531982806008955,96.3608905811818,Axial_Displacement
19.079242247652655,32.471494474179835,95.39421390675948,Axial_Displacement
19.524555810168607,31.839914108249403,94.69722448863493,Axial_Displacement
19.980263085725507,31.80029950121495,94.3366827609649,Axial_Displacement
20.446606665791165,31.047335605104724,91.81286117225785,Axial_Displacement
20.92383480396977,31.282189697743323,91.36971197170254,Axial_Displacement
21.41220154815729,30.97219899962012,91.27435211074452,Axial_Displacement
21.91196687578149,31.58947522672844,92.885258679524,Axial_Displacement
22.42339683219846,30.85978603621876,90.98356014130395,Axial_Displacement
22.946763672319364,30.199573010473486,88.85720134093239,Axial_Displacement
23.48234600554277,31.128954346928836,91.75479180095576,Axial_Displacement
24.030428944069683,29.587936981258004,88.16591628311066,Axial_Displacement
24.59130425468045,29.935671577477315,87.8441064315835,Axial_Displacement
25.165270514053915,29.96462135211038,88.74919193630478,Axial_Displacement
25.75263326771201,29.31411794614065,86.33466921451421,Axial_Displacement
26.353705192673942,29.22454141781476,87.01787303954568,Axial_Displacement
26.968806263906924,29.53790483024969,87.03473353459603,Axial_Displacement
27.598263924661804,28.949626676107748,85.611636715253,Axial_Displacement
28.24241326078436,28.536608888071676,84.61366667161066,Axial_Displacement
28.901597179095106,28.915594826604792,85.43395203943125,Axial_Displacement
29.576166589932534,28.341760844763424,83.210105607301,Axial_Displacement
30.26648059395692,28.346153150566238,83.52394508942437,Axial_Displacement
30.972906673314085,27.971820447258846,81.5886444330111,Axial_Displacement
31.695820887261156,28.39988089120122,83.89782824554504,Axial_Displacement
32.435608072358114,27.812033589455236,82.01746095139492,Axial_Displacement
33.1926620473319,27.211181064352967,79.47683789906135,Axial_Displacement
33.96738582272207,27.762337650585447,82.55960740183424,Axial_Displacement
34.76019181541977,26.943699314982215,80.30012207735314,Axial_Displacement
35.57150206821386,27.201976481302314,80.28526853067186,Axial_Displacement
36.40174847446141,27.151764452019034,80.06044481481666,Axial_Displacement
37.25137300800211,26.612696511346297,78.37139001042203,Axial_Displacement
38.12082795843888,26.22782022479005,77.1293200262732,Axial_Displacement
39.01057617190993,26.462001314336092,77.88928630550184,Axial_Displacement
39.92109129748052,26.236226207428174,78.181837603903,Axial_Displacement
40.852858039285614,25.766373563340945,75.81842107771898,Axial_Displacement
41.80637241455758,25.564248370883067,75.76146868774623,Axial_Displacement
42.78214201767617,25.20149717422063,74.99818611347483,Axial_Displacement
43.78068629038168,24.84631750378835,73.67048165335987,Axial_Displacement
44.802536798294895,25.20915900238624,74.20063084646468,Axial_Displacement
45.848237513890965,24.46856210934459,71.40505752489945,Axial_Displacement
46.91834510607799,24.74514228073987,72.80443283890708,Axial_Displacement
48.01342923653453,24.214219437686285,71.76295215349435,Axial_Displacement
49.13407286296362,24.007338905049366,70.75871890319972,Axial_Displacement
50.2808725494248,23.849339338351346,70.67638745651382,Axial_Displacement
51.45443878390927,24.27407539880523,71.56595308215529,Axial_Displacement
52.65539630332756,23.53057119107636,69.655172370618,Axial_Displacement
53.88438442608224,23.34965090162125,69.06615342789596,Axial_Displacement
55.14205739240302,23.80228419687262,70.8703385840328,Axial_Displacement
56.4290847126254,23.365572829584533,68.43511368723621,Axial_Displacement
57.7461515235982,22.83590644017638,67.17174555134403,Axial_Displacement
59.0939589534097,22.71060311201272,66.93536009417049,Axial_Displacement
60.473224494626486,22.609031633556825,67.10492741703149,Axial_Displacement
61.88468238624386,22.640683692489926,67.04599998260129,Axial_Displacement
63.32908400455115,21.975215210211005,65.12040750412349,Axial_Displacement
64.8071982631197,22.05758411061585,65.16881630677771,Axial_Displacement
66.31981202212673,21.700833715826963,63.068620284656205,Axial_Displacement
67.86773050723295,21.264499238626314,62.918648222487576,Axial_Displacement
69.45177773823696,21.623433863173375,63.27044011118615,Axial_Displacement
71.07279696773419,20.92057509575298,61.46261486512937,Axial_Displacement
72.73165113001458,21.302937638148812,62.87155221727539,Axial_Displacement
74.42922330043757,20.86996443828526,60.668799480501754,Axial_Displacement
76.16641716552891,20.077986121822573,59.3202686254136,Axial_Displacement
77.9441575040495,20.61500775583529,61.179423416759185,Axial_Displacement
79.76339067929277,19.65525355263561,57.995840989169636,Axial_Displacement
81.62508514287228,19.892747585072122,58.630208416275806,Axial_Displacement
83.53023195026779,19.342994237138203,56.920651307434845,Axial_Displacement
85.47984528840409,19.65684056631135,57.97687250580884,Axial_Displacement
87.47496301554415,19.60359587311574,57.94380109721547,Axial_Displacement
89.516647213783,19.491932440686607,57.137822325850394,Axial_Displacement
91.6059847544371,18.605436573693083,54.9140163683135,Axial_Displacement
93.74408787662996,19.017821765802683,56.187442314871056,Axial_Displacement
95.9320947793824,18.835860121534655,54.63513190639316,Axial_Displacement
98.17117022752194,17.902166133294667,52.71455327646906,Axial_Displacement
100.46250617173402,18.45038260824201,55.13435190545413,Axial_Displacement
102.80732238308649,18.278405073856693,53.31964804724583,Axial_Displacement
105.20686710236228,18.597693179747818,55.5683956172229,Axial_Displacement
107.66241770454933,17.529593180939983,51.42289138853324,Axial_Displacement
110.17528137883872,17.244103524343323,50.343154059880675,Axial_Displacement
112.74679582449473,16.92604171527636,50.67210892284346,Axial_Displacement
115.37832996296608,17.458915294549158,51.871032757271266,Axial_Displacement
118.07128466661892,16.362512384057908,47.890506322317144,Axial_Displacement
120.8270935044776,16.232052402755897,47.802298379104165,Axial_Displacement
123.64722350537151,16.62482147855113,48.374249108963305,Axial_Displacement
126.5331759388943,16.16443938185461,47.49593046020382,Axial_Displacement
129.4864871145905,16.138386265097296,47.348037916357235,Axial_Displacement
132.5087291997954,15.792546625591479,46.2974438732938,Axial_Displacement
135.6015110565633,15.702452847381966,46.863970588803724,Axial_Displacement
138.76647909813084,15.529034737672301,46.4849569261788,Axial_Displacement
142.00531816536818,15.683169420632348,46.44952230368405,Axial_Displacement
145.31975242368955,14.612658161205244,43.068476217757066,Axial_Displacement
148.71154628089536,15.214940904984298,43.80079200130191,Axial_Displacement
152.1825053264387,14.434039247017791,42.754048314700626,Axial_Displacement
155.73447729261352,14.232400423156454,41.99840411635346,Axial_Displacement
159.36935303817745,14.626684747501704,43.16306121183049,Axial_Displacement
163.08906755493325,14.225051828109203,40.867141524425286,Axial_Displacement
166.89560099780232,14.28375470871141,43.114887893470225,Axial_Displacement
170.79097973894267,14.081278052917202,40.5411732019012,Axial_Displacement
174.77727744646808,13.449270233852085,40.21741188913264,Axial_Displacement
178.85661618834618,13.871057224438601,40.40014340822478,Axial_Displacement
183.0311675620613,12.742045971336882,36.88262578290271,Axial_Displacement
187.30315385064387,12.786810420553014,37.42452082190061,Axial_Displacement
191.6748492056815,12.295527652877311,36.56821959217417,Axial_Displacement
196.14858085794293,12.676283624961172,37.428876461750015,Axial_Displacement
200.7267303562568,12.467492186183467,37.67180561281,Axial_Displacement
