Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,32.581994559055694,93.34053881760516,Interturn_Fault
10.233402121916416,31.655068339811727,90.68509080347027,Interturn_Fault
10.472251898884348,32.270171828224136,92.44723249596052,Interturn_Fault
10.716676480328632,31.64115828517262,90.6452414322894,Interturn_Fault
10.966805983368683,32.002252060818314,91.67969889993653,Interturn_Fault
11.222773562085075,31.751237278852056,90.96059451983336,Interturn_Fault
11.484715478402896,31.58550762683121,90.48581403978504,Interturn_Fault
11.752771174629451,31.0460392285002,88.94035091953259,Interturn_Fault
12.02708334768512,31.497752024139285,90.23441275664132,Interturn_Fault
12.307798025066653,31.369801001538445,89.8678600776708,Interturn_Fault
12.595064642583576,30.96278731319377,88.70185175036065,Interturn_Fault
12.889036123908928,30.82817959992607,88.31622905735333,Interturn_Fault
13.1898689619867,30.043545359495106,86.06841753544596,Interturn_Fault
13.497723302339423,29.99087185839062,85.91751907017272,Interturn_Fault
13.812763028320092,29.902113568332705,85.6632452993169,Interturn_Fault
14.135155848353955,30.06160652119908,86.12015895238301,Interturn_Fault
14.465073385216463,29.629736851322814,84.88294348320211,Interturn_Fault
14.802691267395094,29.251103974241296,83.79824019111877,Interturn_Fault
15.148189222583458,29.093533332963588,83.34683355509964,Interturn_Fault
15.501751173357706,28.267797458203173,80.98127452428389,Interturn_Fault
15.863565335085903,28.61183394081784,81.96686644690121,Interturn_Fault
16.23382431612278,28.846544954951604,82.63926397265621,Interturn_Fault
16.61272522034293,28.066428622737316,80.40439530440099,Interturn_Fault
17.000469752067172,27.995145465425157,80.20018410118331,Interturn_Fault
17.397264323438016,28.79308145218644,82.48610231933472,Interturn_Fault
17.803320164301137,27.69943373116302,79.35303238489757,Interturn_Fault
18.21885343465167,27.328653551033717,78.2908254124721,Interturn_Fault
18.644085339704866,27.131832893315988,77.72697576206136,Interturn_Fault
19.079242247652655,26.968298132724637,77.25848318278301,Interturn_Fault
19.524555810168607,26.86884264621664,76.9735642014666,Interturn_Fault
19.980263085725507,26.296385267631717,75.33359461426463,Interturn_Fault
20.446606665791165,26.04597876823511,74.61623283536112,Interturn_Fault
20.92383480396977,26.39994713475817,75.63027750950668,Interturn_Fault
21.41220154815729,25.801637300366806,73.91624609191686,Interturn_Fault
21.91196687578149,25.995572110615036,74.47182839831154,Interturn_Fault
22.42339683219846,25.672785493478287,73.54711285604951,Interturn_Fault
