Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,32.66313899527973,94.2125062620724,Interturn_Fault
10.233402121916416,32.311306156027435,92.76273768042762,Interturn_Fault
10.472251898884348,32.05950924592001,92.41497693310666,Interturn_Fault
10.716676480328632,32.27567808635823,92.46025438869816,Interturn_Fault
10.966805983368683,31.27051516904963,90.1301249087906,Interturn_Fault
11.222773562085075,31.532312174973445,90.21834510028164,Interturn_Fault
11.484715478402896,31.459581225982127,89.91748096857977,Interturn_Fault
11.752771174629451,30.774458531088804,88.21852790765801,Interturn_Fault
12.02708334768512,30.914468722594325,88.87738375605726,Interturn_Fault
12.307798025066653,30.994677225217476,88.86759028424906,Interturn_Fault
12.595064642583576,30.44319102814407,86.82030731738966,Interturn_Fault
12.889036123908928,30.5798716262097,87.23326965129252,Interturn_Fault
13.1898689619867,30.35286096046726,86.73233670416084,Interturn_Fault
13.497723302339423,29.840673474313014,85.64525191154279,Interturn_Fault
13.812763028320092,29.567344635877678,84.92847061016127,Interturn_Fault
14.135155848353955,29.488979438531718,85.15287099405217,Interturn_Fault
14.465073385216463,29.953738406541017,86.01849368770652,Interturn_Fault
14.802691267395094,28.431835553753054,82.19568426118431,Interturn_Fault
15.148189222583458,28.81834578511806,82.26189086054183,Interturn_Fault
15.501751173357706,28.593711421552918,82.21464927394592,Interturn_Fault
15.863565335085903,28.49286562971181,82.14081468932841,Interturn_Fault
16.23382431612278,28.866979486703936,82.54714089869964,Interturn_Fault
16.61272522034293,28.635646213433596,82.26542158366688,Interturn_Fault
17.000469752067172,28.352440488953366,81.26442735269,Interturn_Fault
17.397264323438016,28.013355061284358,79.95615319113497,Interturn_Fault
17.803320164301137,27.431364641119227,78.69603085968753,Interturn_Fault
18.21885343465167,27.357694206465347,78.46444088005606,Interturn_Fault
18.644085339704866,27.181164113127977,77.78553889834045,Interturn_Fault
19.079242247652655,27.17538766385517,77.5926673182179,Interturn_Fault
19.524555810168607,26.556068212243268,76.06250452178953,Interturn_Fault
19.980263085725507,27.162981836777796,76.94876488752499,Interturn_Fault
20.446606665791165,26.11255190106774,75.3686049704734,Interturn_Fault
20.92383480396977,25.97270976216107,74.60603474200921,Interturn_Fault
21.41220154815729,25.830616041941504,74.0657202023477,Interturn_Fault
21.91196687578149,25.96263619084006,74.47910638206123,Interturn_Fault
22.42339683219846,25.215893553466422,72.7584370613006,Interturn_Fault
