Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,40.06640165773202,114.7817857632005,Radial_Deformation
10.233402121916416,40.03282622610263,114.68559923681578,Radial_Deformation
10.472251898884348,40.31428494839942,115.4919190815533,Radial_Deformation
10.716676480328632,39.29967967347273,112.58528907530282,Radial_Deformation
10.966805983368683,39.84920042073895,114.1595500539643,Radial_Deformation
11.222773562085075,39.25554627343026,112.45885619740304,Radial_Deformation
11.484715478402896,39.135684549929806,112.11547765331603,Radial_Deformation
11.752771174629451,38.3992440918645,110.00573114782487,Radial_Deformation
12.02708334768512,38.649418034224496,110.72242669989372,Radial_Deformation
12.307798025066653,38.61324123373141,110.61878780066668,Radial_Deformation
12.595064642583576,38.21512795572455,109.4782772707711,Radial_Deformation
12.889036123908928,37.9847555999774,108.8183090857312,Radial_Deformation
13.1898689619867,38.54568523298623,110.42525411449262,Radial_Deformation
13.497723302339423,38.27889677067525,109.6609614688324,Radial_Deformation
13.812763028320092,37.977001984730464,108.79609661425032,Radial_Deformation
14.135155848353955,37.799572418868856,108.2877983500149,Radial_Deformation
14.465073385216463,37.79107663328661,108.26345971713934,Radial_Deformation
14.802691267395094,37.44513159059007,107.27240017264012,Radial_Deformation
15.148189222583458,37.26032510259937,106.742968583215,Radial_Deformation
15.501751173357706,36.79521053680745,105.41051350271816,Radial_Deformation
15.863565335085903,37.07655541967637,106.21650722151772,Radial_Deformation
16.23382431612278,36.87750064168779,105.64625728798478,Radial_Deformation
16.61272522034293,36.93311101314262,105.8055692670606,Radial_Deformation
17.000469752067172,35.6726004948562,102.1944726305776,Radial_Deformation
17.397264323438016,36.09273452898179,103.39806797983768,Radial_Deformation
17.803320164301137,35.71594043746069,102.31863242035642,Radial_Deformation
18.21885343465167,35.90727355419234,102.8667614238468,Radial_Deformation
18.644085339704866,35.55616234137353,101.86090189213492,Radial_Deformation
19.079242247652655,34.98665292198879,100.22937758595036,Radial_Deformation
19.524555810168607,34.78996497414596,99.66590812132618,Radial_Deformation
19.980263085725507,34.93587755007219,100.08391686024896,Radial_Deformation
20.446606665791165,35.040991017224265,100.385044762139,Radial_Deformation
20.92383480396977,35.024766976339066,100.33856630867052,Radial_Deformation
21.41220154815729,34.56339623682347,99.01683650041686,Radial_Deformation
21.91196687578149,34.70546791322248,99.42384187271742,Radial_Deformation
22.42339683219846,33.84271033869855,96.9522234845592,Radial_Deformation
22.946763672319364,34.071761023731,97.60840536190616,Radial_Deformation
23.48234600554277,32.97165359010329,94.45682971401436,Radial_Deformation
24.030428944069683,33.76973346093703,96.74316012967034,Radial_Deformation
24.59130425468045,33.067074848528286,94.73019148319332,Radial_Deformation
25.165270514053915,33.272571835301505,95.3188969854314,Radial_Deformation
25.75263326771201,32.6815933903263,93.6258684514172,Radial_Deformation
26.353705192673942,33.55023519210295,96.11434390893928,Radial_Deformation
26.968806263906924,33.18184475471119,95.058983045163,Radial_Deformation
27.598263924661804,32.717365891609454,93.72834911872476,Radial_Deformation
28.24241326078436,32.83751809820628,94.07255983558387,Radial_Deformation
28.901597179095106,32.06671233395964,91.86436397979946,Radial_Deformation
29.576166589932534,31.58038543496549,90.47114004099696,Radial_Deformation
30.26648059395692,31.977260742643697,91.60810404714282,Radial_Deformation
30.972906673314085,31.86200169662591,91.27791120276665,Radial_Deformation
31.695820887261156,31.845540301541483,91.2307527796049,Radial_Deformation
32.435608072358114,31.46209789006964,90.13227118642212,Radial_Deformation
33.1926620473319,31.316344606667258,89.71471878696559,Radial_Deformation
33.96738582272207,31.05906453041119,88.97766566085177,Radial_Deformation
34.76019181541977,30.781018445474366,88.18112230200096,Radial_Deformation
35.57150206821386,31.139464134685365,89.20799356082338,Radial_Deformation
36.40174847446141,30.31699783181027,86.8518011634998,Radial_Deformation
37.25137300800211,30.22082857860819,86.5762965471296,Radial_Deformation
38.12082795843888,30.34043566222436,86.91894560168333,Radial_Deformation
39.01057617190993,30.41956306920381,87.14562892487017,Radial_Deformation
39.92109129748052,29.1444299127186,83.49264151568029,Radial_Deformation
40.852858039285614,29.606745002923027,84.81707668937648,Radial_Deformation
41.80637241455758,29.465431876660062,84.41224440314312,Radial_Deformation
42.78214201767617,29.19935578962446,83.64999256231833,Radial_Deformation
43.78068629038168,29.24033173469229,83.76737999801567,Radial_Deformation
44.802536798294895,29.0124188117961,83.11445756909356,Radial_Deformation
45.848237513890965,28.830655127757527,82.59374297088557,Radial_Deformation
46.91834510607799,28.07748541678116,80.4360706860839,Radial_Deformation
48.01342923653453,28.26055950941959,80.96053932840235,Radial_Deformation
49.13407286296362,28.18384687750834,80.74077382620958,Radial_Deformation
50.2808725494248,28.66975133117223,82.13278754828713,Radial_Deformation
51.45443878390927,27.817375490240423,79.69091063607178,Radial_Deformation
52.65539630332756,27.21299030685878,77.95947462567136,Radial_Deformation
53.88438442608224,27.562108148198057,78.95962356874428,Radial_Deformation
55.14205739240302,27.185154254087067,77.87973020856522,Radial_Deformation
56.4290847126254,27.125300588961966,77.70826208856234,Radial_Deformation
57.7461515235982,27.01415563185736,77.38985524074951,Radial_Deformation
59.0939589534097,26.430338122852127,75.71734127715749,Radial_Deformation
60.473224494626486,26.20405667285658,75.06909267381522,Radial_Deformation
61.88468238624386,25.86433960829796,74.09587497242609,Radial_Deformation
63.32908400455115,26.41228841640221,75.66563267710598,Radial_Deformation
64.8071982631197,25.56299960838133,73.23259946274132,Radial_Deformation
66.31981202212673,25.474006712738007,72.9776535963908,Radial_Deformation
67.86773050723295,25.97633883851508,74.41672913243386,Radial_Deformation
69.45177773823696,24.745164798764826,70.88967531624577,Radial_Deformation
71.07279696773419,24.836350233381594,71.15090234407613,Radial_Deformation
72.73165113001458,24.467760664293163,70.09497101001048,Radial_Deformation
74.42922330043757,24.401980917374484,69.90652591621654,Radial_Deformation
76.16641716552891,25.087799941797112,71.87125269667634,Radial_Deformation
77.9441575040495,24.250628767917945,69.47293394701188,Radial_Deformation
79.76339067929277,24.110608241611512,69.07180468688392,Radial_Deformation
81.62508514287228,24.0580171305939,68.92114225182327,Radial_Deformation
83.53023195026779,23.25827996471308,66.63006403558704,Radial_Deformation
85.47984528840409,23.170522769225997,66.37865818942132,Radial_Deformation
87.47496301554415,23.1211540452054,66.237227213105,Radial_Deformation
89.516647213783,22.647835251750276,64.88126875164485,Radial_Deformation
91.6059847544371,23.05255104649182,66.04069409869352,Radial_Deformation
93.74408787662996,22.53030873362307,64.54458007816702,Radial_Deformation
95.9320947793824,21.98465508266476,62.98139751437623,Radial_Deformation
98.17117022752194,21.70297661614302,62.17444814880559,Radial_Deformation
100.46250617173402,22.139823024403988,63.42592092324571,Radial_Deformation
102.80732238308649,21.02890513706025,60.24337560672641,Radial_Deformation
105.20686710236228,21.79900098666496,62.44953770687096,Radial_Deformation
107.66241770454933,21.19112818580037,60.70811040835411,Radial_Deformation
110.17528137883872,20.34647126278496,58.28834656708963,Radial_Deformation
112.74679582449473,20.513261318455932,58.766164879824586,Radial_Deformation
115.37832996296608,20.485229167657245,58.68585868325261,Radial_Deformation
118.07128466661892,19.96208903827376,57.187172607872526,Radial_Deformation
120.8270935044776,20.128957329861148,57.66521504999833,Radial_Deformation
123.64722350537151,20.258892373896305,58.037451531701365,Radial_Deformation
126.5331759388943,19.45687755651322,55.73984832455106,Radial_Deformation
129.4864871145905,19.33933836973374,55.403123358057854,Radial_Deformation
132.5087291997954,19.14248840202069,54.83918974069565,Radial_Deformation
135.6015110565633,18.81565065513424,53.90286856658772,Radial_Deformation
138.76647909813084,18.168195422688125,52.04804595444651,Radial_Deformation
142.00531816536818,18.54507168261572,53.127716909072845,Radial_Deformation
145.31975242368955,18.157374364721942,52.017045906880085,Radial_Deformation
148.71154628089536,18.221253711833597,52.20004675625752,Radial_Deformation
152.1825053264387,17.686481667885303,50.66803770026643,Radial_Deformation
155.73447729261352,17.804043259821512,51.00482685280564,Radial_Deformation
159.36935303817745,17.16934124903557,49.18653952948056,Radial_Deformation
163.08906755493325,17.360809425414768,49.735055450360285,Radial_Deformation
166.89560099780232,16.96579734244221,48.60342918981035,Radial_Deformation
170.79097973894267,16.651857562893678,47.704057970340415,Radial_Deformation
174.77727744646808,15.891241894554344,45.52505458897212,Radial_Deformation
178.85661618834618,15.378267759788754,44.05549194289995,Radial_Deformation
183.0311675620613,15.579812205998236,44.632874250505175,Radial_Deformation
187.30315385064387,15.886424468481136,45.51125367986656,Radial_Deformation
191.6748492056815,15.484603494622029,44.36012138376839,Radial_Deformation
196.14858085794293,15.159005087899372,43.42735065769877,Radial_Deformation
200.7267303562568,15.549785511453956,44.5468541069994,Radial_Deformation
205.4117348353064,14.813792091648097,42.4383882717856,Radial_Deformation
210.20608831301584,14.859376432656068,42.5689777893677,Radial_Deformation
215.1123430182167,13.879071340402552,39.76061056830223,Radial_Deformation
220.13311074930323,14.378987290387176,41.19276427057183,Radial_Deformation
225.27106426459804,13.82482902847975,39.6052177910918,Radial_Deformation
230.52893870517084,13.531159956373726,38.76391787083188,Radial_Deformation
235.9095330508634,13.58479536083805,38.91757198624603,Radial_Deformation
241.41571161030177,12.674515112742428,36.309811166746,Radial_Deformation
247.05040554568257,12.942357127676022,37.077122018344745,Radial_Deformation
252.81661443315005,12.028655504788736,34.45955968205997,Radial_Deformation
258.7174078595924,11.767680454192464,33.711921234191,Radial_Deformation
264.75592705670664,11.47410450266144,32.870888084727746,Radial_Deformation
270.9353865732051,12.0008088321757,34.3797848413495,Radial_Deformation
277.25907598604806,11.724471859767316,33.58813772922832,Radial_Deformation
283.73036165162114,11.501353500821551,32.94895071425446,Radial_Deformation
290.3526884977814,11.473223052215054,32.868362915206355,Radial_Deformation
297.1295818577334,10.9643661938103,31.41059539706243,Radial_Deformation
304.06464934670686,11.171655955171008,32.00443682017456,Radial_Deformation
311.1615827824363,11.084800193284106,31.75561339104892,Radial_Deformation
318.4241601504653,9.926122748931954,28.436247022129788,Radial_Deformation
325.8562476153223,9.384356737095333,26.88420172403614,Radial_Deformation
333.46180157863625,10.13933167530869,29.047045603924914,Radial_Deformation
341.2448707852889,9.424062788785886,26.997951183185997,Radial_Deformation
349.2095984787271,9.277582674611455,26.578316566946533,Radial_Deformation
357.3602246065788,8.812595968452582,25.246227777316868,Radial_Deformation
365.7010880777494,8.325216831872725,23.84998939987907,Radial_Deformation
374.23662907219807,8.19636617135795,23.480859448130595,Radial_Deformation
382.9713914046281,8.132556956137412,23.298059511821656,Radial_Deformation
391.9100249433402,8.334087509818776,23.875402020265494,Radial_Deformation
401.0572880855496,7.95856468123794,22.79960836084067,Radial_Deformation
410.4180502904709,7.695684583485946,22.04651235488188,Radial_Deformation
419.9972946715306,7.635373844014552,21.87373481333068,Radial_Deformation
429.8001206490799,6.981511008607938,20.00055577086787,Radial_Deformation
439.8317466650224,7.022893981164783,20.119109254428515,Radial_Deformation
450.09751296080464,6.850622455508262,19.6255876869086,Radial_Deformation
460.60288442023983,6.255191094649485,17.919802488561647,Radial_Deformation
471.3534534786907,6.59171524744759,18.883873171539,Radial_Deformation
482.3549431001467,5.50588764534301,15.773206227568853,Radial_Deformation
493.61320982379175,6.1075880274385455,17.496950848843014,Radial_Deformation
505.13424688167663,5.160879528667787,14.784830778406487,Radial_Deformation
516.9241873891599,5.461385504131805,15.645716984033992,Radial_Deformation
528.9893076098151,4.954454311786815,14.19346609278887,Radial_Deformation
541.3360302965375,4.433008825532735,12.69963481236358,Radial_Deformation
553.97092811064,4.741725379652075,13.584042593206592,Radial_Deformation
566.9007271207435,4.58920857395599,13.147114129646468,Radial_Deformation
580.1323103833379,3.888636136188393,11.140121933282725,Radial_Deformation
593.6727216069125,4.315998135965323,12.364423878857172,Radial_Deformation
607.5291689016077,3.943111710771092,11.296182958789666,Radial_Deformation
621.7090286163826,2.00569453720749,5.745891598721704,Radial_Deformation
636.2198492657488,3.0805209218346628,8.825042376143799,Radial_Deformation
651.0693555481454,2.5122230590716312,7.196988924012468,Radial_Deformation
666.265452458115,2.7514798686554487,7.882409194458363,Radial_Deformation
681.816229494448,2.700253598321198,7.735656739940925,Radial_Deformation
697.7299649665538,2.1437676123191087,6.14144182213613,Radial_Deformation
714.0151304013402,2.121299005702231,6.077074005601791,Radial_Deformation
730.68039505295,1.391239723066062,3.985608221131741,Radial_Deformation
747.7346305177589,1.6485350303991528,4.722704981067116,Radial_Deformation
765.1869154570818,1.2152527799264088,3.481442766566194,Radial_Deformation
783.0465404301183,0.6575577100908137,1.883764078724528,Radial_Deformation
801.3230128396885,0.9686602631980632,2.775007243164026,Radial_Deformation
820.026061993413,0.7496307166463485,2.147533812860154,Radial_Deformation
839.1656442830161,0.5881798499756763,1.6850111499122091,Radial_Deformation
858.751948484517,-0.4934776336328209,-1.4137092845631862,Radial_Deformation
878.7954011821319,0.2380018143524778,0.6818249739426558,Radial_Deformation
899.3066723187613,-0.6143592529771492,-1.7600096150200353,Radial_Deformation
920.296680876041,-0.7801221313887652,-2.2348852816663265,Radial_Deformation
941.7766006869518,-1.1970712302831603,-3.4293564635879075,Radial_Deformation
963.7578663841088,-1.3584155151792872,-3.891573792243128,Radial_Deformation
986.2521794868784,-1.6931626423342725,-4.850553671748617,Radial_Deformation
1009.2715146305708,-1.6197710051961098,-4.640302118770001,Radial_Deformation
1032.8281259410285,-1.2291006073576145,-3.521113869927872,Radial_Deformation
1056.9345535579885,-2.3689795063390195,-6.786626373310553,Radial_Deformation
1081.6036303107094,-2.4816694951942324,-7.109459411049553,Radial_Deformation
1106.848488549412,-2.2520928376714213,-6.451770733510684,Radial_Deformation
1132.6825671361537,-2.5999067687789577,-7.448184248926474,Radial_Deformation
1159.1196185988858,-2.318379262307121,-6.641667352042563,Radial_Deformation
1186.173716452478,-3.403588914790938,-9.750564000751636,Radial_Deformation
1213.8592626906277,-3.805908140633396,-10.903123683638809,Radial_Deformation
1242.1909954526172,-3.4281033904567737,-9.820792800383064,Radial_Deformation
