Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,39.67323798886395,114.1108351878858,Shorted_Turns
10.233402121916416,40.06688299359722,114.63902424364612,Shorted_Turns
10.472251898884348,39.96366609740148,114.16425900472498,Shorted_Turns
10.716676480328632,39.415399581589085,112.7045388794552,Shorted_Turns
10.966805983368683,39.327222758974834,112.51991087353603,Shorted_Turns
11.222773562085075,39.41043447076539,112.75875590237222,Shorted_Turns
11.484715478402896,38.82333328380134,111.76882553790654,Shorted_Turns
11.752771174629451,38.669657783923896,110.39488097237911,Shorted_Turns
12.02708334768512,38.34780544586145,110.03287259550308,Shorted_Turns
12.307798025066653,38.42923538806169,109.75856134742276,Shorted_Turns
12.595064642583576,38.315857601147435,109.55575492544097,Shorted_Turns
12.889036123908928,37.62157775986593,107.94662122738372,Shorted_Turns
13.1898689619867,37.55772778749585,107.36188322443556,Shorted_Turns
13.497723302339423,36.78178912053416,105.6194200325914,Shorted_Turns
13.812763028320092,37.64810558473309,107.36217808064669,Shorted_Turns
14.135155848353955,36.95360265087489,106.0082438949184,Shorted_Turns
14.465073385216463,37.058271114786585,105.83831563523005,Shorted_Turns
14.802691267395094,36.823770537996275,105.25145505241971,Shorted_Turns
15.148189222583458,36.424173380196116,104.21742000193272,Shorted_Turns
15.501751173357706,36.126893821297195,103.36055970250436,Shorted_Turns
15.863565335085903,35.550712342159265,102.1954113311268,Shorted_Turns
16.23382431612278,35.441580283121745,101.847938006155,Shorted_Turns
16.61272522034293,36.0535093396105,102.89465974175788,Shorted_Turns
17.000469752067172,35.15136920034983,100.48273869757313,Shorted_Turns
17.397264323438016,35.379771525795555,101.50253934669033,Shorted_Turns
17.803320164301137,35.35510547440531,100.60862512758244,Shorted_Turns
18.21885343465167,35.26467838031455,100.63313824953046,Shorted_Turns
18.644085339704866,34.44348494140592,99.4614981799398,Shorted_Turns
19.079242247652655,34.15936295543513,97.8300601011558,Shorted_Turns
19.524555810168607,35.12339030255992,99.87995805873776,Shorted_Turns
19.980263085725507,33.97411811725938,98.13518110628628,Shorted_Turns
20.446606665791165,34.152039357815745,97.06207700555588,Shorted_Turns
20.92383480396977,33.511124824066755,95.88893520491928,Shorted_Turns
21.41220154815729,33.87334671934208,97.52049432352304,Shorted_Turns
21.91196687578149,32.829270520494696,93.8529448024983,Shorted_Turns
22.42339683219846,32.7631418201698,94.4560579916582,Shorted_Turns
22.946763672319364,33.00729986049706,93.96946679945906,Shorted_Turns
23.48234600554277,32.204692357233405,93.22255247855009,Shorted_Turns
24.030428944069683,32.833640851430594,93.68455196933014,Shorted_Turns
24.59130425468045,32.4313450956151,92.41145704890867,Shorted_Turns
25.165270514053915,32.26340022986646,92.0452886986756,Shorted_Turns
25.75263326771201,31.601861815282668,91.18043556855876,Shorted_Turns
26.353705192673942,31.720968240682055,90.6494741305962,Shorted_Turns
26.968806263906924,31.25144497775691,90.03338207347146,Shorted_Turns
27.598263924661804,31.441725273383753,89.44793880762728,Shorted_Turns
28.24241326078436,31.178685404382573,89.6838745196154,Shorted_Turns
28.901597179095106,30.65468121329577,87.99413572679875,Shorted_Turns
29.576166589932534,30.06396572591216,86.210090175915,Shorted_Turns
30.26648059395692,30.361319338887135,87.24149023756253,Shorted_Turns
30.972906673314085,30.044250859133868,85.90497173324803,Shorted_Turns
31.695820887261156,29.943782282157375,86.11742415875393,Shorted_Turns
32.435608072358114,29.51895299111938,84.91313401661556,Shorted_Turns
33.1926620473319,29.957455015269773,85.99488662433647,Shorted_Turns
33.96738582272207,30.189237410998643,85.51515730189178,Shorted_Turns
34.76019181541977,29.229530655576834,83.63492063931673,Shorted_Turns
35.57150206821386,29.30510302026916,83.15757373987226,Shorted_Turns
36.40174847446141,28.786228594433435,82.4105486313157,Shorted_Turns
37.25137300800211,28.38932001903634,81.26182791180432,Shorted_Turns
38.12082795843888,27.989591235708687,81.16219149637674,Shorted_Turns
39.01057617190993,27.817356614307723,79.97180363109938,Shorted_Turns
39.92109129748052,27.990425417819477,79.86435059714795,Shorted_Turns
40.852858039285614,27.927754038036774,80.22368025017316,Shorted_Turns
41.80637241455758,28.004146148207987,79.3692568640485,Shorted_Turns
42.78214201767617,27.139974483026162,77.65490434084629,Shorted_Turns
43.78068629038168,27.061770990159587,78.04997305583133,Shorted_Turns
44.802536798294895,26.55714102522308,75.78801835474911,Shorted_Turns
45.848237513890965,26.68576007057077,76.20999245409105,Shorted_Turns
46.91834510607799,26.259882497183636,75.17327516123584,Shorted_Turns
48.01342923653453,26.208539275943448,74.86840190546471,Shorted_Turns
49.13407286296362,25.898977945548946,74.39753668851215,Shorted_Turns
50.2808725494248,26.13846464650855,74.33447008087354,Shorted_Turns
51.45443878390927,26.506106271506052,75.48811946894897,Shorted_Turns
52.65539630332756,25.859796614327585,73.80390458839473,Shorted_Turns
53.88438442608224,25.82150067613633,74.19906747836569,Shorted_Turns
55.14205739240302,25.367740887122153,72.5224079616758,Shorted_Turns
56.4290847126254,25.462728664631136,72.65341273255392,Shorted_Turns
57.7461515235982,24.46408536887454,70.5226396961006,Shorted_Turns
59.0939589534097,24.563854412822767,69.86704657928978,Shorted_Turns
60.473224494626486,24.453998850366776,70.62484187187901,Shorted_Turns
