Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,39.31240477770656,114.80399456315664,Normal
10.233402121916416,38.8109592980234,113.3354685326342,Normal
10.472251898884348,38.84186567926951,113.42308252031376,Normal
10.716676480328632,39.36757354270242,114.9570660265488,Normal
10.966805983368683,38.399372825133625,112.12391307420734,Normal
11.222773562085075,37.90470253525648,110.67494649594,Normal
11.484715478402896,37.65696992164177,109.9477768677341,Normal
11.752771174629451,37.872737340725216,110.57546972006271,Normal
12.02708334768512,37.33694282719231,109.0060889655619,Normal
12.307798025066653,37.193574737771684,108.5838019304588,Normal
12.595064642583576,36.91383884588517,107.7628074588076,Normal
12.889036123908928,37.259068867240146,108.76867612755063,Normal
13.1898689619867,36.80201019183893,107.42917880503973,Normal
13.497723302339423,36.27584368701669,105.88758812782616,Normal
13.812763028320092,36.15523701554412,105.53147695476964,Normal
14.135155848353955,35.87230719116795,104.70077772863752,Normal
14.465073385216463,36.1332280525966,105.45981467438492,Normal
14.802691267395094,36.02848415322506,105.14984176134536,Normal
15.148189222583458,36.11960657052591,105.41235568261422,Normal
15.501751173357706,35.78428206496441,104.42817543606584,Normal
15.863565335085903,35.64991708222037,104.03136816908696,Normal
16.23382431612278,35.43124728001814,103.38803245854058,Normal
16.61272522034293,35.30106586396328,103.0032854825405,Normal
17.000469752067172,34.763039570076295,101.42621777220458,Normal
17.397264323438016,34.38037881375766,100.30323524132712,Normal
17.803320164301137,35.041588307699776,102.23166170567114,Normal
18.21885343465167,34.097719464815235,99.46794630399062,Normal
18.644085339704866,34.089996094885066,99.44073072678212,Normal
19.079242247652655,33.38314916451408,97.36970706000076,Normal
19.524555810168607,33.61184124176992,98.03340825711516,Normal
19.980263085725507,33.20036190294414,96.82563145381336,Normal
20.446606665791165,32.69617410085489,95.3467490328194,Normal
20.92383480396977,33.313273022910714,97.14557650354102,Normal
21.41220154815729,32.78413320950982,95.5935600957876,Normal
21.91196687578149,32.295380849044996,94.1595089409139,Normal
22.42339683219846,31.94585262633969,93.1323471836212,Normal
22.946763672319364,32.31415099194126,94.20347629161708,Normal
23.48234600554277,32.05991298886534,93.4546744323873,Normal
24.030428944069683,31.456950656253156,91.68636350226224,Normal
24.59130425468045,31.806144875694,92.7013486925498,Normal
25.165270514053915,30.915460653925955,90.09175484051616,Normal
25.75263326771201,30.744354112120316,89.58557018588395,Normal
26.353705192673942,31.117522902673244,90.67034178895942,Normal
26.968806263906924,30.509568071138567,88.88694151693875,Normal
27.598263924661804,30.848803936757406,89.87232278143871,Normal
28.24241326078436,30.569146575901726,89.04842537799836,Normal
28.901597179095106,29.874436386855596,87.01112779826688,Normal
29.576166589932534,30.027151253687713,87.45097512039047,Normal
30.26648059395692,29.803813409463977,86.79143276312423,Normal
30.972906673314085,29.848338232646334,86.9148310377438,Normal
31.695820887261156,29.363167678208917,85.48970755078086,Normal
32.435608072358114,29.027831442832948,84.50250299522095,Normal
33.1926620473319,29.370665426527335,85.49768056440702,Normal
33.96738582272207,29.02521682527681,84.48075509387279,Normal
34.76019181541977,28.799693703262385,83.81432806203142,Normal
35.57150206821386,28.877242739749065,84.03378818738251,Normal
36.40174847446141,28.159291845453797,81.92773510116152,Normal
37.25137300800211,27.959817141844503,81.33726031654399,Normal
38.12082795843888,28.118591522874937,81.79398535599154,Normal
39.01057617190993,27.896386091221885,81.13696302030111,Normal
39.92109129748052,27.620393650209913,80.32266832741736,Normal
40.852858039285614,27.132261447463744,78.88820397723329,Normal
41.80637241455758,27.51789123078638,80.00794542734151,Normal
42.78214201767617,26.995552840488962,78.47345231778687,Normal
43.78068629038168,26.632838146700106,77.40557730988742,Normal
44.802536798294895,26.552104942443005,77.16201460411101,Normal
45.848237513890965,26.299286337020586,76.41542354865175,Normal
46.91834510607799,26.28293643415943,76.36012481112483,Normal
48.01342923653453,25.990834275172645,75.49878067760658,Normal
49.13407286296362,25.74515979658767,74.77322034999428,Normal
50.2808725494248,25.925061234692016,75.2918070179633,Normal
51.45443878390927,25.05503231582892,72.74127878742513,Normal
52.65539630332756,25.405017247212996,73.75727837661819,Normal
53.88438442608224,24.672698728761556,71.60956786771735,Normal
55.14205739240302,24.829857567837475,72.06218540335963,Normal
56.4290847126254,24.293003759992985,70.48621079651876,Normal
57.7461515235982,24.916760526932197,72.30320385519907,Normal
59.0939589534097,24.700412562569422,71.6645920190587,Normal
60.473224494626486,23.55703651060636,68.3163044951584,Normal
61.88468238624386,24.04050798856778,69.72399855128089,Normal
63.32908400455115,24.080924491261396,69.83685510574847,Normal
64.8071982631197,23.276922259631814,67.48161959525864,Normal
66.31981202212673,23.690942812557857,68.68736813967834,Normal
67.86773050723295,22.796171888183814,66.06761823291548,Normal
69.45177773823696,23.047426165230377,66.79846221403197,Normal
71.07279696773419,23.010855560788816,66.68843355131108,Normal
72.73165113001458,22.269150023032754,64.51767251470335,Normal
74.42922330043757,22.14720129914169,64.15921988638026,Normal
76.16641716552891,22.057030552781974,63.89431177950177,Normal
77.9441575040495,21.735545210640804,62.95391138962407,Normal
79.76339067929277,21.70886628223065,62.87605566788725,Normal
81.62508514287228,21.12153227738586,61.16006679561198,Normal
