Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,40.08163354808268,115.17741264627875,Normal
10.233402121916416,39.03818744821228,112.30953358171335,Normal
10.472251898884348,39.86281440183935,114.16617098148272,Normal
10.716676480328632,39.697328854927996,113.77202977582805,Normal
10.966805983368683,39.97717090499397,114.41481388752008,Normal
11.222773562085075,38.665773938088996,110.59512596668644,Normal
11.484715478402896,38.85395671012675,111.76997306410604,Normal
11.752771174629451,37.92961057555525,108.81043857803964,Normal
12.02708334768512,37.87282032712521,108.49479905325596,Normal
12.307798025066653,38.26351515074811,109.32793248922576,Normal
12.595064642583576,37.92415941705065,108.30973443838356,Normal
12.889036123908928,37.414290549765894,106.9068136557078,Normal
13.1898689619867,37.55416323297253,107.0062530358335,Normal
13.497723302339423,37.047304748262704,106.14133858747044,Normal
13.812763028320092,37.28621220171283,106.80862930124194,Normal
14.135155848353955,36.26814079638055,104.10272257222586,Normal
14.465073385216463,36.77235838268668,105.45512690321269,Normal
14.802691267395094,36.65501550650406,105.1933369121894,Normal
15.148189222583458,36.19828726035176,103.0244564126729,Normal
15.501751173357706,35.80115682576876,102.93223669271757,Normal
15.863565335085903,35.882310180632864,102.43920352478644,Normal
16.23382431612278,35.274729508915385,101.57369595112328,Normal
16.61272522034293,35.724708872714444,102.23809207309696,Normal
17.000469752067172,35.26874854474728,101.29925307939666,Normal
17.397264323438016,35.27452253473119,101.4854682790436,Normal
17.803320164301137,35.13079603781556,100.31391522244992,Normal
18.21885343465167,34.690933574253066,99.42940843679864,Normal
18.644085339704866,34.59387462016512,99.47512668526848,Normal
19.079242247652655,35.03136701259513,99.38965495992798,Normal
19.524555810168607,33.592854255632545,97.0756920982619,Normal
19.980263085725507,34.42848071335254,98.4599225575352,Normal
20.446606665791165,33.5777344755322,95.79270884301964,Normal
20.92383480396977,33.55562058751038,95.21774645681612,Normal
21.41220154815729,33.797460213819846,96.31198533195231,Normal
21.91196687578149,33.0775537766981,94.5208438161664,Normal
22.42339683219846,33.275050271040094,94.9668790135862,Normal
22.946763672319364,33.20962376824738,94.46146906698158,Normal
23.48234600554277,32.680533253401315,93.642094720423,Normal
24.030428944069683,31.888505456711854,91.82223263020674,Normal
24.59130425468045,32.13175043583268,92.31483130009502,Normal
25.165270514053915,32.06132976393197,92.2488560987295,Normal
25.75263326771201,31.744107232604986,90.77000477530088,Normal
26.353705192673942,31.041707979712324,90.13440842377102,Normal
26.968806263906924,31.48488639577069,89.91804534101126,Normal
27.598263924661804,31.284847529849095,90.00755442779796,Normal
28.24241326078436,31.228151675261746,88.79196068418756,Normal
28.901597179095106,31.107168355681875,87.9372099038779,Normal
29.576166589932534,30.48396734791845,87.20995924100387,Normal
30.26648059395692,30.63844355801506,87.6825768356578,Normal
30.972906673314085,30.518771523190708,88.0206180705007,Normal
31.695820887261156,30.131807104070703,86.26385632270636,Normal
32.435608072358114,30.261703607796818,86.73525857887635,Normal
33.1926620473319,29.269122536197184,84.21256549439879,Normal
33.96738582272207,29.44227872319432,83.89616296013604,Normal
34.76019181541977,28.600732282697393,82.4502382946586,Normal
35.57150206821386,28.120297633371955,80.96409133953593,Normal
36.40174847446141,29.364290555633612,83.22951378611664,Normal
37.25137300800211,28.777743279838912,82.11299241977282,Normal
38.12082795843888,28.585536970117754,82.59216685680012,Normal
39.01057617190993,28.435503048987126,81.62101457788465,Normal
39.92109129748052,28.09311304407268,80.191089431392,Normal
