Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,39.49815814962421,116.96827658002734,Normal
10.233402121916416,39.14041166267581,115.62464056384881,Normal
10.472251898884348,38.43860482786203,114.36752948714576,Normal
10.716676480328632,38.163388460656385,112.00831325759899,Normal
10.966805983368683,37.88396339667103,111.95599899436135,Normal
11.222773562085075,37.59874063104332,111.27218973300087,Normal
11.484715478402896,37.673563577169205,111.31630295332059,Normal
11.752771174629451,37.29449129672721,110.70354765014773,Normal
12.02708334768512,37.646058430807834,111.23548937527885,Normal
12.307798025066653,37.33919250120066,109.58831998437147,Normal
12.595064642583576,36.26158344807412,107.4338035720519,Normal
12.889036123908928,36.88922424446163,109.19360103689985,Normal
13.1898689619867,36.66876866440687,108.45916908929051,Normal
13.497723302339423,36.03417191416815,106.32055648853604,Normal
13.812763028320092,36.3621095248557,105.9109704288434,Normal
14.135155848353955,35.889848687306866,104.93530080477932,Normal
14.465073385216463,35.62143351320396,104.59305244866519,Normal
14.802691267395094,35.363361380939565,104.73970508301515,Normal
15.148189222583458,35.61049114578579,105.02329743397402,Normal
15.501751173357706,35.5013175965633,105.12906567103701,Normal
15.863565335085903,35.31726027172464,103.78749593083874,Normal
16.23382431612278,35.107358831406444,104.26963102971693,Normal
16.61272522034293,34.47205673269216,102.2635676139062,Normal
17.000469752067172,34.06831006088874,100.47281335015965,Normal
17.397264323438016,33.8487021131663,101.29325836142236,Normal
17.803320164301137,33.357727131138205,98.30542869497837,Normal
18.21885343465167,33.814541997589956,100.66018594272694,Normal
18.644085339704866,33.75638877050416,99.19716157976622,Normal
19.079242247652655,33.78756697041394,99.3567390926161,Normal
19.524555810168607,33.238247381805714,98.69826321660781,Normal
19.980263085725507,32.971164117425445,96.63066647195001,Normal
20.446606665791165,32.57646982600737,96.13843099571963,Normal
20.92383480396977,32.47624566629746,95.95941650468897,Normal
21.41220154815729,32.43704469970784,95.88139736148405,Normal
21.91196687578149,32.03797964470039,95.45262793474187,Normal
22.42339683219846,32.125162766486206,94.14216348009535,Normal
22.946763672319364,31.930539662270437,94.35933786356041,Normal
23.48234600554277,31.268244394982865,92.52709682598856,Normal
24.030428944069683,30.969301207895505,91.56320812146888,Normal
24.59130425468045,31.827232442205325,94.79682495330697,Normal
25.165270514053915,30.8564301443118,91.00186216324103,Normal
25.75263326771201,30.57879311610754,89.8704940546449,Normal
26.353705192673942,30.89971438183934,90.5600242747834,Normal
26.968806263906924,30.212730864075397,89.05755089557027,Normal
27.598263924661804,29.671822236843106,87.715609566434,Normal
28.24241326078436,29.701511062331615,88.01903686834582,Normal
28.901597179095106,30.05999289643852,88.69449894901416,Normal
29.576166589932534,29.73891690178282,87.61540143958909,Normal
30.26648059395692,29.53623947539967,88.09863461650235,Normal
30.972906673314085,29.215999652396643,86.23785383145528,Normal
31.695820887261156,28.963250495281603,85.46108544263797,Normal
32.435608072358114,28.815307208883087,85.55706946518842,Normal
33.1926620473319,29.10352041029208,85.92681238635446,Normal
33.96738582272207,28.57583154619389,85.13766430560598,Normal
34.76019181541977,28.043673998574434,83.64297045818314,Normal
35.57150206821386,27.685531196496143,81.30165162994946,Normal
36.40174847446141,27.865850202161145,82.90626336955809,Normal
37.25137300800211,27.973567634967836,82.59044773671452,Normal
38.12082795843888,26.866889681512394,79.76056509938017,Normal
39.01057617190993,27.375125379946454,80.68492548436895,Normal
39.92109129748052,26.97655397590806,79.77499754333915,Normal
40.852858039285614,26.801399819252715,78.52521652598396,Normal
41.80637241455758,27.106268391190923,80.064783314109,Normal
42.78214201767617,26.767866496803407,79.1190336812252,Normal
43.78068629038168,26.486051456065418,78.35810974896252,Normal
44.802536798294895,26.12430585938865,77.85187373136866,Normal
45.848237513890965,26.166335394437006,77.69553639537591,Normal
46.91834510607799,25.84598577063528,75.86128306521081,Normal
48.01342923653453,25.56973301754743,75.97691292476394,Normal
49.13407286296362,25.30369200189355,74.58661396917839,Normal
50.2808725494248,25.217801297816447,75.2376555050198,Normal
51.45443878390927,25.202764940717188,74.65206014471772,Normal
52.65539630332756,24.579108587711293,72.2448247702809,Normal
53.88438442608224,24.259910123141925,71.72617644868086,Normal
55.14205739240302,24.349057756641365,72.58375333853333,Normal
56.4290847126254,24.917774712844146,73.25726788490407,Normal
57.7461515235982,24.078374325534064,70.46325125641044,Normal
59.0939589534097,23.961383202312213,71.53794898078061,Normal
60.473224494626486,23.852276958329348,70.71313641574865,Normal
61.88468238624386,23.268984730399684,68.65136169815047,Normal
63.32908400455115,23.47550653489295,69.50930332699612,Normal
64.8071982631197,22.89754208186842,68.11913147761676,Normal
66.31981202212673,22.627136860101484,66.99153751568917,Normal
67.86773050723295,23.095427101191667,67.6214570651026,Normal
69.45177773823696,22.254119544190836,65.60196120957994,Normal
71.07279696773419,22.697669342371736,67.58666448259693,Normal
72.73165113001458,21.98536273143825,64.46772971873887,Normal
74.42922330043757,22.247273431771394,65.67449531906459,Normal
76.16641716552891,22.116265282708454,65.31649431506032,Normal
77.9441575040495,21.719471714834782,65.02908775973519,Normal
79.76339067929277,21.145678211639222,62.577876340814974,Normal
81.62508514287228,21.501180708195708,63.00923092056554,Normal
83.53023195026779,20.83244166482635,60.84940607824762,Normal
85.47984528840409,20.946088565535632,61.79005127106629,Normal
87.47496301554415,21.22749809524154,62.925268582152384,Normal
89.516647213783,20.52798559751659,60.2626880065864,Normal
91.6059847544371,20.059120862334627,58.99638587150227,Normal
93.74408787662996,19.628952766167213,57.745532612628026,Normal
95.9320947793824,19.92228349242288,59.048968281695736,Normal
98.17117022752194,19.768674030258662,59.25858243295139,Normal
100.46250617173402,19.360867485731937,57.57747701276209,Normal
102.80732238308649,19.055111963013335,56.342002927691986,Normal
105.20686710236228,19.473672575520492,56.8777753035849,Normal
107.66241770454933,18.807486767587363,56.095147978870614,Normal
110.17528137883872,18.153437644015405,53.28194611108617,Normal
112.74679582449473,18.15543630805766,53.886076218141085,Normal
115.37832996296608,18.13201911050444,54.59893087307826,Normal
118.07128466661892,18.414613352983263,53.99388067053512,Normal
120.8270935044776,18.371597237087336,53.94112528195626,Normal
123.64722350537151,17.748681812341776,52.479455803486616,Normal
126.5331759388943,17.581829755367487,52.58556036563047,Normal
129.4864871145905,17.092387585279145,49.86054126381341,Normal
132.5087291997954,17.229774165834662,51.838055499233086,Normal
135.6015110565633,16.934485416090993,50.06651515379382,Normal
138.76647909813084,17.03169840992141,50.06349394209989,Normal
142.00531816536818,16.892443733036306,49.381365693288004,Normal
145.31975242368955,16.260499883429965,48.11224744677802,Normal
148.71154628089536,15.82751899974973,46.82329307390005,Normal
152.1825053264387,15.994138252446001,47.31647646094052,Normal
155.73447729261352,16.335149934276668,48.77005303309046,Normal
159.36935303817745,16.02694233081477,47.6370210277609,Normal
163.08906755493325,15.519651699947003,45.16970244197245,Normal
166.89560099780232,15.001270543824607,44.558421588127274,Normal
170.79097973894267,14.977251173310323,44.510273467560495,Normal
174.77727744646808,14.587503262876908,43.038411763421,Normal
178.85661618834618,14.400583887712381,41.952143469432926,Normal
183.0311675620613,14.61518389741438,43.88580364728359,Normal
187.30315385064387,13.984063675237174,41.57091300070062,Normal
191.6748492056815,13.841642630507828,40.22256053944808,Normal
196.14858085794293,13.456501677407026,40.74079439553352,Normal
200.7267303562568,13.620687749077751,41.04027206740358,Normal
205.4117348353064,13.244058094599861,38.538011133098124,Normal
210.20608831301584,13.248726952456305,39.25506240452019,Normal
215.1123430182167,12.95034013085541,39.13526750959681,Normal
220.13311074930323,12.50109202686849,36.61693982401804,Normal
225.27106426459804,12.380695449011535,36.61519066517199,Normal
230.52893870517084,12.674733768029432,36.650303758169656,Normal
235.9095330508634,12.583905710527512,37.40454273255956,Normal
241.41571161030177,12.222670959722096,36.788948776222696,Normal
247.05040554568257,11.659816026646457,35.21808666600608,Normal
252.81661443315005,11.506446532164588,34.69979000322915,Normal
258.7174078595924,10.86269036906022,31.65794651057414,Normal
264.75592705670664,11.077637838550707,33.152510050018996,Normal
270.9353865732051,11.462783855057884,34.04962348326133,Normal
277.25907598604806,11.07554330330975,32.19714678613268,Normal
283.73036165162114,10.60885085254962,32.690823868392584,Normal
290.3526884977814,10.411185272141978,30.4300988128413,Normal
297.1295818577334,10.075425084572014,30.090367458655724,Normal
304.06464934670686,10.524952136371788,31.305309673308788,Normal
311.1615827824363,9.672251496713965,28.775588772207584,Normal
318.4241601504653,9.976882639022206,29.382259100914858,Normal
325.8562476153223,9.655794918229747,27.378549865044697,Normal
333.46180157863625,9.316191944700455,27.306473155271096,Normal
341.2448707852889,8.618850732175918,24.92526334925328,Normal
349.2095984787271,8.772191318451595,25.782868764546894,Normal
357.3602246065788,8.258843065875807,24.59326472880936,Normal
365.7010880777494,8.433678529368033,24.07892359286368,Normal
374.23662907219807,8.445161754838475,24.438535262235405,Normal
382.9713914046281,7.940124650428268,24.13797825190059,Normal
391.9100249433402,7.665138064693754,22.945375043930053,Normal
401.0572880855496,7.812715791294535,23.035041393389676,Normal
410.4180502904709,7.169441459036004,21.8041207441233,Normal
419.9972946715306,7.21127463073762,20.62601821470422,Normal
429.8001206490799,6.908757114564921,21.218164732121558,Normal
439.8317466650224,7.2093735762851505,21.415354213120885,Normal
450.09751296080464,6.661852505962245,20.192428941055393,Normal
460.60288442023983,6.416880202757023,18.61610463596213,Normal
471.3534534786907,6.188737177859684,18.28022959390865,Normal
482.3549431001467,5.829577521587764,17.54283383415031,Normal
493.61320982379175,6.396448430634231,18.65158103754775,Normal
505.13424688167663,6.059656508397367,18.283885326622148,Normal
516.9241873891599,5.769578394406696,16.843841893231243,Normal
528.9893076098151,5.834771918130456,17.57984209071222,Normal
541.3360302965375,5.539461314410189,15.935315492782435,Normal
553.97092811064,4.682852326533674,12.897436476665414,Normal
566.9007271207435,4.561646490641399,13.904579570879918,Normal
580.1323103833379,4.38132055895305,13.597877168211594,Normal
593.6727216069125,4.39802237767302,12.816683505254298,Normal
607.5291689016077,4.207709778848307,11.507790459904253,Normal
621.7090286163826,4.468110549623143,13.278730700144916,Normal
636.2198492657488,3.846229858379228,11.34125141901315,Normal
651.0693555481454,3.1911948149906846,9.270214161939494,Normal
666.265452458115,3.484446553848869,10.992226859652812,Normal
681.816229494448,3.5768534725998093,10.603808825340826,Normal
697.7299649665538,2.716362741196919,7.865756881756199,Normal
714.0151304013402,2.5554510181338457,7.092719913244519,Normal
730.68039505295,2.869502042224597,8.696700214873294,Normal
747.7346305177589,2.4998213261528677,7.656529581565862,Normal
765.1869154570818,1.997281154912022,5.746672208579841,Normal
783.0465404301183,1.783799597274054,6.25226851618096,Normal
801.3230128396885,1.4109139304174299,4.555680987132386,Normal
820.026061993413,1.5814803856690116,5.227150679527594,Normal
839.1656442830161,1.369216850702505,4.137043591731655,Normal
858.751948484517,1.4801016479863718,3.9862812462655324,Normal
878.7954011821319,1.5297480103655843,4.481593751889649,Normal
899.3066723187613,1.3482570027696237,3.7888384871471583,Normal
920.296680876041,1.0510897741869396,3.119076823015266,Normal
941.7766006869518,-0.14533823291939238,-0.26223906621242365,Normal
963.7578663841088,0.003415739240314848,-0.44229238422317174,Normal
986.2521794868784,-0.015555112816230428,0.11335848876469079,Normal
1009.2715146305708,0.6513642202353636,1.918683004818395,Normal
1032.8281259410285,-0.3943035798565742,-1.8343778740514944,Normal
1056.9345535579885,-0.2390437579946201,-0.36193799327435144,Normal
1081.6036303107094,-0.4289884317797439,-0.8065855862360889,Normal
1106.848488549412,-0.7581297861523104,-2.0467182175621472,Normal
1132.6825671361537,-1.1228383380879743,-3.108812772710485,Normal
1159.1196185988858,-1.3522740156231807,-4.175096632914752,Normal
1186.173716452478,-1.8274774712511535,-5.724593559297806,Normal
1213.8592626906277,-1.9672250720582605,-5.672880200813962,Normal
1242.1909954526172,-1.6495405812057542,-4.568021483541991,Normal
1271.1839968690288,-1.8461338724444298,-5.829762608223196,Normal
1300.8537010905704,-2.1470985347480056,-7.244242693821515,Normal
1331.2159025043077,-2.0562223697216346,-7.254752981156183,Normal
1362.2867641416467,-2.6301808700889207,-6.7872178200336295,Normal
1394.0828262825771,-2.750604563646813,-7.929275134331499,Normal
1426.6210152607368,-3.2150655307667764,-9.248775699293498,Normal
1459.918652473979,-3.360436371172592,-9.748483365343272,Normal
1493.9934636052578,-3.4091967063610804,-10.380147292626086,Normal
1528.8635880587294,-4.1195315006083115,-11.887654749266819,Normal
1564.547588616096,-3.4894923215129654,-9.353265061255394,Normal
1601.0644613183176,-4.233849384078737,-12.45732414555468,Normal
1638.4336455779846,-4.052247621482382,-11.732787141577504,Normal
1676.6750345276992,-4.364310968138754,-12.415562033137325,Normal
1715.8089856100048,-4.511740942141895,-13.60557162225707,Normal
1755.8563314144687,-4.4862105719905,-14.1366783501317,Normal
1796.8383907677191,-5.1801873343041,-14.431473211294657,Normal
1838.7769800823269,-5.346687214167584,-16.081646737865775,Normal
1881.6944249705557,-5.214646154249092,-15.295693497842697,Normal
1925.6135721291987,-5.576663456651171,-16.83001156680634,Normal
1970.5578015017984,-5.067781590375821,-15.608800819876352,Normal
2016.5510387247464,-6.027388677865336,-17.49361203420394,Normal
2063.6177678638587,-6.405673922288656,-19.409277760217737,Normal
2111.7830444482443,-6.209646074654556,-18.193319358844935,Normal
2161.0725088083764,-6.261784727188162,-17.41036945870183,Normal
2211.5123997254886,-5.979240744416689,-17.656130831473885,Normal
2263.129568399529,-6.56952778063472,-19.24715455545296,Normal
2315.9514927431524,-7.6234525086625125,-21.49641113788455,Normal
2370.006292009328,-7.505980004285367,-21.366126106919175,Normal
2425.322741760353,-7.874295186143795,-24.504716606213712,Normal
2481.930289186256,-7.8198605876387335,-22.18840844724369,Normal
2539.859068780724,-7.77552439837034,-23.222881180573673,Normal
2599.139918382933,-8.607610312867298,-26.435560894203807,Normal
2659.8043955937583,-7.946691317857873,-23.82363801501084,Normal
2721.8847945751795,-8.146178808291602,-23.584008056332692,Normal
2785.414163241766,-8.729364687452055,-25.283012050652314,Normal
2850.4263208534344,-8.4415589142558,-24.904556957809195,Normal
2916.955876018796,-9.523504165781318,-28.205149623497213,Normal
2985.0382451187297,-9.40736969553288,-28.213783829877347,Normal
3054.7096711599684,-10.010309084272185,-29.702185610386177,Normal
3126.007243068704,-9.410496648310335,-27.891571977275213,Normal
3198.9689154345374,-9.58658512235493,-27.648648444379003,Normal
3273.633528715244,-10.196616245959122,-29.80994915259602,Normal
3350.0408299131327,-10.159427440941418,-29.200619614619708,Normal
3428.23149373397,-10.689593584833489,-32.20688328263472,Normal
3508.2471442397923,-11.272528811943372,-33.333642492686,Normal
3590.130377007068,-10.363497538424225,-30.83072743829063,Normal
3673.924781802074,-11.303455640230684,-34.01313308915828,Normal
3759.674965785468,-11.59636762394506,-33.7942167158786,Normal
3847.4265772585018,-11.29334758665686,-33.32429460612427,Normal
3937.22632996348,-11.58061677701333,-35.0654012381883,Normal
4029.122027951348,-11.8276633321444,-35.92127120427391,Normal
4123.162591029753,-11.625559124028149,-34.11001720531536,Normal
4219.398080805024,-12.055015912140217,-35.46686030033432,Normal
4317.8797273320215,-12.106855158221608,-35.062725242727254,Normal
4418.659956385941,-12.540537890251548,-36.11365683177519,Normal
4521.792417370702,-12.469406124682296,-37.36963956211663,Normal
4627.332011878689,-12.625540619258608,-36.51982802722393,Normal
4735.334922917115,-12.767645370059881,-38.77503538663278,Normal
4845.858644816495,-13.29348941051768,-39.159455496220296,Normal
4958.962013837211,-13.63402242835332,-40.03595219499247,Normal
5074.705239490466,-13.855432385968443,-40.06902320173378,Normal
5193.149936590212,-14.130769089229357,-41.6066842751038,Normal
5314.359158053241,-13.778465726867745,-41.305846246420096,Normal
5438.397428464796,-14.246291359022772,-42.81812152927471,Normal
5565.330778427646,-14.599627498838485,-43.04907013648905,Normal
5695.226779712824,-14.445153023386016,-43.272971474613534,Normal
5828.154581230846,-14.819082440623305,-42.63035054436647,Normal
5964.18494584246,-15.111192762432168,-44.177476909880305,Normal
6103.390288028621,-15.069841173949113,-44.4826899648818,Normal
6245.844712439618,-15.123034167528333,-44.732337733276474,Normal
6391.624053343999,-15.731531499514457,-47.14285739670269,Normal
6540.805914998252,-15.324931907079606,-46.50347591153979,Normal
6693.46971295866,-15.8469539623588,-47.14119678120868,Normal
6849.696716357446,-15.73578477691148,-45.87748752121457,Normal
7009.570091165618,-16.500679108061494,-48.68466350506078,Normal
7173.1749444656125,-16.15662231270101,-47.75999476970343,Normal
7340.598369757212,-16.59237335370273,-49.00764479491952,Normal
7511.929493320968,-17.43606085599209,-51.91698082562636,Normal
7687.259521663727,-17.39891739747727,-51.987052917956724,Normal
7866.681790071582,-17.15337698863276,-50.389565690623,Normal
8050.291812295982,-17.147161133973867,-50.79902187966722,Normal
8238.1873313996,-17.830079800045294,-53.109588300336505,Normal
8430.468371788967,-17.375088051551238,-50.47444394111999,Normal
8627.23729246145,-17.85307556812482,-52.65073368444986,Normal
8828.59884149515,-18.019222668693633,-53.15244680005657,Normal
9034.660211810526,-19.12625408875722,-55.62235088195746,Normal
9245.53109823357,-18.440204074866642,-54.737160107509034,Normal
9461.32375589077,-18.893716675177675,-55.878967491006996,Normal
9682.153059967084,-18.90199474826698,-56.01208772013245,Normal
9908.136566858666,-19.241122562458493,-57.557627557535824,Normal
10139.394576752917,-19.332429291569376,-56.5624654599104,Normal
10376.050197669118,-19.50158216668423,-57.66941524520923,Normal
10618.229410993825,-19.296166919045262,-56.19169310414897,Normal
10866.061138545958,-19.55476620361043,-58.72841517701948,Normal
11119.677311206977,-20.373962098347103,-60.44338954449299,Normal
11379.212939153138,-20.64959435527842,-60.19692000943416,Normal
11644.806183726856,-20.551998728677617,-60.54493487700106,Normal
11916.598430985588,-20.630201059177057,-60.97190076053805,Normal
12194.734366967385,-20.809400682535305,-60.87556037654013,Normal
12479.362054713114,-20.847606967128783,-61.87900925484605,Normal
12770.633013086446,-21.54285824964126,-62.936387851492285,Normal
13068.702297433476,-22.11481801590518,-64.67558093066202,Normal
13373.728582124975,-21.826738779489748,-64.96967576255682,Normal
13685.874245025178,-22.281685786698148,-64.66303431967322,Normal
14005.305453932197,-21.85817306487072,-63.96493535340588,Normal
14332.192255035738,-22.564716127172307,-66.03807328482671,Normal
14666.708663439686,-22.454092540650375,-66.81902359890542,Normal
15009.032755797334,-22.74626951325564,-66.5370009700901,Normal
15359.346765108954,-23.268983663570758,-68.56962292240614,Normal
15717.837177731612,-23.05496957723373,-68.25998458098415,Normal
16084.694832653551,-23.671598029440286,-70.05782791917295,Normal
16460.1150230855,-23.77945506869166,-70.0522622292173,Normal
16844.297600423153,-23.73189041380535,-70.05586363252904,Normal
17237.447080636197,-23.68147235604675,-69.40196910779599,Normal
17639.772753140453,-24.360527191033988,-72.59055192460848,Normal
18051.4887922111,-24.272023644360853,-71.77715168946477,Normal
18472.81437099636,-24.854367835800453,-73.59358748515612,Normal
18903.973778192238,-24.966228333587036,-73.44055892216228,Normal
19345.196537440443,-24.586328383470562,-72.69961626896041,Normal
19796.717529513324,-25.332117211483688,-74.11626884679544,Normal
20258.77711735017,-25.413596220368362,-75.7326656625968,Normal
20731.62127401227,-25.417368215505945,-74.80984574971119,Normal
21215.50171362448,-25.515941628379988,-75.71377314529745,Normal
21710.676025372624,-25.74481302261045,-76.16665696253169,Normal
22217.40781062882,-26.050709946063183,-77.38108503485847,Normal
22735.96682327715,-26.566562939866852,-78.80217579510902,Normal
23266.629113314582,-26.541271470938295,-78.4690216181785,Normal
23809.677173803582,-26.33357477740851,-77.85310086306929,Normal
24365.40009125466,-26.98755252908377,-80.04591112285036,Normal
24934.09369951881,-27.123727689749497,-80.27491167132175,Normal
25516.060737271862,-26.839675340008014,-78.34434480037892,Normal
26111.61100917462,-27.93394938744634,-82.7335515490138,Normal
26721.06155079433,-27.958099701553493,-82.93703259665763,Normal
27344.7367973758,-27.338909905364442,-79.32026255642468,Normal
27982.96875655116,-28.280318534814324,-84.16690120439101,Normal
28636.09718508116,-28.347777201797747,-83.24557336645029,Normal
29304.46976972138,-28.982802720877643,-86.77248150038884,Normal
29988.44231231025,-28.75147834710426,-85.91430901773208,Normal
30688.37891917639,-29.365113268021606,-86.32839837752391,Normal
31404.652194967493,-28.808037320524868,-84.8633706830103,Normal
32137.64344100276,-29.478186599805245,-87.0203595806536,Normal
32887.7428582551,-29.667035150413007,-87.3561989582544,Normal
33655.34975507094,-29.86094254409134,-88.35193944536671,Normal
34440.87275973823,-29.83937134335683,-88.51377831324426,Normal
35244.73003801588,-29.79185952028467,-87.9266083337735,Normal
36067.34951574032,-30.31312661420875,-89.06558833513233,Normal
36909.16910662782,-30.44458831698195,-90.18363602392812,Normal
37770.63694539364,-30.304351895096875,-89.77590545130742,Normal
38652.211626312615,-31.06784980762397,-92.10373604532194,Normal
39554.36244734701,-30.416190919407015,-89.52790534812851,Normal
40477.56965997322,-31.344668418980955,-92.94661743991011,Normal
41422.324724838894,-31.571004681532106,-93.95222679342773,Normal
42389.13057338775,-31.270669653634176,-91.63834752831579,Normal
43378.50187558984,-31.553161074482777,-93.65293419563929,Normal
44390.96531392166,-31.641813193869606,-93.72796950584686,Normal
45427.059863740425,-32.51866589972871,-95.65121899292053,Normal
46487.33708020257,-32.52118319241006,-96.25544268986037,Normal
47572.3613918789,-32.83809147776851,-96.80207206274976,Normal
48682.71040122284,-32.98546528991527,-96.94935979694259,Normal
49818.97519205165,-32.95294991201862,-97.30317071787927,Normal
50981.760644204296,-33.25190252854484,-98.01650544942834,Normal
52171.68575554354,-33.12006410113286,-98.34451323623983,Normal
53389.3839714735,-33.87690206055761,-99.72421168977986,Normal
54635.50352214876,-33.84019225588292,-99.13802986828112,Normal
55910.70776755293,-33.56463293134573,-97.4821400367531,Normal
57215.6755506324,-34.19340767042052,-101.26563894119064,Normal
58551.10155867232,-34.369450782611864,-100.96897872058159,Normal
59917.696693106125,-34.644939255169845,-102.47900786054002,Normal
61316.18844795768,-34.32077173837927,-101.51091359323947,Normal
62747.32129711574,-34.64994536506154,-102.40411874555954,Normal
64211.85709064759,-34.81067081793055,-102.27695108892028,Normal
65710.5754603627,-35.19646496010419,-104.18567805157411,Normal
67244.2742348425,-35.55380528016126,-105.48841721583986,Normal
68813.7698641567,-36.11132926147509,-107.49512184253206,Normal
70419.89785449296,-35.89325102215017,-106.54342404376506,Normal
72063.5132129306,-36.00686916164846,-106.20177053198917,Normal
73745.49090259547,-36.30879694032853,-107.33967454376561,Normal
75466.72630843885,-36.30030383383529,-106.6521005408173,Normal
77228.13571388641,-36.63799427221913,-107.98569730237162,Normal
79030.65678861347,-36.35766370508546,-106.89354716875172,Normal
80875.2490877044,-36.9115678794419,-108.36998352502783,Normal
82762.89456246335,-36.96012176846065,-109.06872138709686,Normal
84694.59808314576,-37.604974893128436,-110.61758369952261,Normal
86671.38797389224,-37.70981246001956,-111.58141801910752,Normal
88694.31656014704,-38.25511033646099,-113.5401022146848,Normal
90764.46072885356,-38.16212963556258,-113.02044604138551,Normal
92882.922501725,-38.59780639182939,-114.2462022714027,Normal
95050.82962189511,-37.95134441588185,-112.14975789438695,Normal
97269.3361542618,-38.53471387122941,-113.80005215647437,Normal
99539.62309984244,-38.91988037363417,-115.19125787648387,Normal
101862.89902446864,-39.154010136830586,-115.75270519495224,Normal
104240.40070215556,-39.44482858631164,-116.33069473771981,Normal
106673.3937734857,-39.69617670089957,-118.07948549847863,Normal
109163.17341936148,-39.47125439868089,-116.826779677032,Normal
111711.06505048242,-40.14444862297011,-118.56172812880735,Normal
114318.42501291502,-40.14964355996925,-118.5415925438498,Normal
116986.64131013057,-39.91588639386458,-117.02861364594372,Normal
119717.13434189656,-40.289051337184375,-119.59177291317582,Normal
122511.35766041176,-40.70939611950799,-120.56456760094109,Normal
125370.79874409195,-40.655137053393474,-120.73630977238074,Normal
128296.97978941476,-41.037678438244754,-120.6333329692102,Normal
