Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,40.21598420802813,115.210308204239,Normal
10.233402121916416,39.8612163686531,114.1939732090808,Normal
10.472251898884348,39.92328755188863,114.37179405051974,Normal
10.716676480328632,39.29916174404296,112.58380531678227,Normal
10.966805983368683,39.60537874388818,113.46105240209673,Normal
11.222773562085075,39.29830608033964,112.58135402083812,Normal
11.484715478402896,38.81028078402099,111.18326453210412,Normal
11.752771174629451,38.80913374527466,111.179978508149,Normal
12.02708334768512,38.56336178968527,110.47589371925154,Normal
12.307798025066653,38.17091280449101,109.35161019296038,Normal
12.595064642583576,38.166523280392425,109.3390351327144,Normal
12.889036123908928,37.85275844004397,108.44016507713626,Normal
13.1898689619867,37.348270839107975,106.99491455962064,Normal
13.497723302339423,37.01533753017311,106.04113088655598,Normal
13.812763028320092,37.45447341259197,107.29916252132368,Normal
14.135155848353955,36.92892956360729,105.79359029652952,Normal
14.465073385216463,36.96630710990345,105.90066907909576,Normal
14.802691267395094,36.865934874503175,105.61312380565931,Normal
15.148189222583458,36.15504243257175,103.57656697513832,Normal
15.501751173357706,36.14039076385008,103.53459303610954,Normal
15.863565335085903,36.2268396251276,103.78225078085524,Normal
16.23382431612278,35.58423676522685,101.94132919208776,Normal
16.61272522034293,36.04792870287898,103.2697087431733,Normal
17.000469752067172,35.1918691686256,100.8172788269406,Normal
17.397264323438016,35.03113403510417,100.3568065884281,Normal
17.803320164301137,35.072378418219905,100.47496304248574,Normal
18.21885343465167,34.67907800710179,99.34824036059432,Normal
18.644085339704866,34.15964778733679,97.86018239338996,Normal
19.079242247652655,34.09751528479153,97.68218588506848,Normal
19.524555810168607,34.003105264748186,97.41172110045704,Normal
19.980263085725507,34.31748094390373,98.31234108031562,Normal
20.446606665791165,33.5163289284775,96.01720961869948,Normal
20.92383480396977,33.728421889683936,96.62481119577753,Normal
21.41220154815729,33.15549724816132,94.98350299886292,Normal
21.91196687578149,33.28862691333504,95.36489139598513,Normal
22.42339683219846,32.7717567342817,93.88416740518876,Normal
22.946763672319364,32.777966660560544,93.901957533532,Normal
23.48234600554277,32.76196301375317,93.85611046258798,Normal
24.030428944069683,32.149894619919486,92.10266367558692,Normal
24.59130425468045,32.177131210485854,92.18069075997586,Normal
25.165270514053915,32.00431631411644,91.68561255002795,Normal
25.75263326771201,32.0904181680591,91.93227619198628,Normal
26.353705192673942,31.674357349796825,90.74034974662688,Normal
26.968806263906924,31.03117233563352,88.8977604087459,Normal
27.598263924661804,31.246313246756888,89.51409371914431,Normal
28.24241326078436,31.514008400453545,90.28098384429052,Normal
28.901597179095106,31.01791586646402,88.85978342201302,Normal
29.576166589932534,30.14325991283013,86.3540786885524,Normal
30.26648059395692,30.29627388607081,86.79243143221335,Normal
30.972906673314085,30.145820223818067,86.3614134392449,Normal
31.695820887261156,29.923034820646333,85.72318027230186,Normal
32.435608072358114,30.081113767874804,86.17604309760499,Normal
33.1926620473319,29.51260187769409,84.547376502087,Normal
33.96738582272207,29.45028538389569,84.36885289765192,Normal
34.76019181541977,29.409035498558392,84.25068068089064,Normal
35.57150206821386,28.799270713806497,82.5038332477913,Normal
36.40174847446141,28.82730180467441,82.58413640788524,Normal
37.25137300800211,28.59046345819765,81.9056445238865,Normal
38.12082795843888,28.203894471400677,80.79820595218072,Normal
39.01057617190993,28.27418596113509,80.99957623705419,Normal
39.92109129748052,27.860819698545352,79.81536912507976,Normal
40.852858039285614,28.04661731122721,80.3476400775936,Normal
41.80637241455758,26.86901231638353,76.97405027069021,Normal
42.78214201767617,27.343377450447505,78.33300627719136,Normal
43.78068629038168,27.54117670789205,78.89965940931106,Normal
44.802536798294895,27.285715454955685,78.16781682819217,Normal
45.848237513890965,26.7428327905083,76.61257255600958,Normal
46.91834510607799,26.619499536706044,76.25924881018533,Normal
48.01342923653453,26.94099947617915,77.18027829246135,Normal
49.13407286296362,26.33275843966596,75.43779607651793,Normal
50.2808725494248,25.501794461512933,73.05725963273943,Normal
51.45443878390927,26.18386901838215,75.01125930383255,Normal
52.65539630332756,25.61497001267506,73.38148370402229,Normal
53.88438442608224,25.506710832789626,73.07134399897313,Normal
55.14205739240302,25.03200954563436,71.71142498480191,Normal
56.4290847126254,24.78254587050587,70.99676419846764,Normal
57.7461515235982,24.750082499566084,70.90376349128678,Normal
59.0939589534097,24.66175533789801,70.65072481228925,Normal
60.473224494626486,24.563160986142467,70.36827280031822,Normal
61.88468238624386,24.03821422608369,68.86441110929648,Normal
63.32908400455115,23.69314915021253,67.87587248405757,Normal
64.8071982631197,23.682964140413105,67.84669458026723,Normal
66.31981202212673,23.58881466362487,67.57697619710069,Normal
67.86773050723295,23.53472149359778,67.4220106799489,Normal
69.45177773823696,22.870426144618385,65.51894468761442,Normal
71.07279696773419,22.936427692267078,65.7080251936945,Normal
72.73165113001458,22.64168653709328,64.86365398168104,Normal
74.42922330043757,21.878474371022445,62.67721218223623,Normal
76.16641716552891,22.469566796336803,64.37056724586944,Normal
77.9441575040495,22.377345747336648,64.10637340137055,Normal
79.76339067929277,22.010342808575405,63.05498742837468,Normal
81.62508514287228,21.451115555564808,61.45291935906458,Normal
83.53023195026779,21.666374518061023,62.06959086173449,Normal
85.47984528840409,21.096764785012223,60.43777917807099,Normal
87.47496301554415,21.04264241993492,60.282730023261216,Normal
89.516647213783,21.12279196381176,60.51234155296329,Normal
91.6059847544371,20.56516743644681,58.91486495441385,Normal
93.74408787662996,19.99328442226564,57.27654080002376,Normal
95.9320947793824,19.652017408397725,56.29888282094058,Normal
98.17117022752194,19.779562446341565,56.66427243954148,Normal
100.46250617173402,19.774812046287384,56.6506635458363,Normal
102.80732238308649,19.42786120333223,55.65672259584448,Normal
105.20686710236228,19.642009282656108,56.270211652649024,Normal
107.66241770454933,19.037383324596707,54.53808587360614,Normal
110.17528137883872,19.1856349578573,54.96279551819381,Normal
112.74679582449473,19.015093471749974,54.47423014890189,Normal
115.37832996296608,18.63853266399425,53.39546289817987,Normal
118.07128466661892,18.19797360231632,52.13335415516041,Normal
120.8270935044776,18.44123719078915,52.83025300159543,Normal
123.64722350537151,18.18988600722709,52.11018490190924,Normal
126.5331759388943,18.26664886332489,52.33009428579794,Normal
129.4864871145905,17.875646087783984,51.2099538449782,Normal
132.5087291997954,17.685398226417107,50.664933869092586,Normal
135.6015110565633,16.796883117789875,48.11952558119517,Normal
138.76647909813084,17.22545241587461,49.34728618165214,Normal
142.00531816536818,17.525423493533516,50.20664001794446,Normal
145.31975242368955,16.86820909563464,48.323859456202605,Normal
148.71154628089536,16.56229964776528,47.44749344239802,Normal
152.1825053264387,16.35206590102511,46.84521812242632,Normal
155.73447729261352,16.227686238399283,46.48889663614028,Normal
159.36935303817745,16.098357494303183,46.11839707581858,Normal
163.08906755493325,15.68182946359203,44.92513216538635,Normal
166.89560099780232,15.93462560083244,45.64933975244061,Normal
170.79097973894267,15.459420252639752,44.28797670976634,Normal
174.77727744646808,15.116846182429542,43.30657429008316,Normal
178.85661618834618,14.452433300375835,41.403171590293134,Normal
183.0311675620613,14.676121875242584,42.043992153551166,Normal
187.30315385064387,14.0372918471013,40.213878931615206,Normal
191.6748492056815,14.225573150275228,40.75326513326967,Normal
196.14858085794293,13.836259113245966,39.637962571920845,Normal
200.7267303562568,13.644696741202935,39.08917680034183,Normal
205.4117348353064,13.390195096013956,38.3600832929186,Normal
210.20608831301584,14.048694170221358,40.2465441811864,Normal
215.1123430182167,13.351775390752657,38.25001894483814,Normal
220.13311074930323,12.664595378966242,36.28139322278256,Normal
225.27106426459804,12.7168829390167,36.43118604837897,Normal
230.52893870517084,12.939100452089024,37.067792330025824,Normal
235.9095330508634,12.597200939617498,36.08832237591589,Normal
