file,rel_path,vendor,fault_class,transformer_id,sweep_points,test_type,split
Normal_0.csv,Original\Normal\Normal_0.csv,Original,Normal,T0001,500,Original,train
Normal_0_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_0_Omicron.csv,Omicron,Normal,T0002,500,Omicron,train
Normal_0_Megger.csv,VendorSimulated\Megger\Normal\Normal_0_Megger.csv,Megger,Normal,T0003,500,Megger,train
Normal_0_Doble.csv,VendorSimulated\Doble\Normal\Normal_0_Doble.csv,Doble,Normal,T0004,500,Doble,train
Normal_1.csv,Original\Normal\Normal_1.csv,Original,Normal,T0005,500,Original,train
Normal_1_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_1_Omicron.csv,Omicron,Normal,T0006,500,Omicron,test
Normal_1_Megger.csv,VendorSimulated\Megger\Normal\Normal_1_Megger.csv,Megger,Normal,T0007,500,Megger,train
Normal_1_Doble.csv,VendorSimulated\Doble\Normal\Normal_1_Doble.csv,Doble,Normal,T0008,500,Doble,train
Normal_2.csv,Original\Normal\Normal_2.csv,Original,Normal,T0009,500,Original,train
Normal_2_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_2_Omicron.csv,Omicron,Normal,T0010,500,Omicron,train
Normal_2_Megger.csv,VendorSimulated\Megger\Normal\Normal_2_Megger.csv,Megger,Normal,T0011,500,Megger,train
Normal_2_Doble.csv,VendorSimulated\Doble\Normal\Normal_2_Doble.csv,Doble,Normal,T0012,500,Doble,train
Normal_3.csv,Original\Normal\Normal_3.csv,Original,Normal,T0013,500,Original,test
Normal_3_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_3_Omicron.csv,Omicron,Normal,T0014,500,Omicron,train
Normal_3_Megger.csv,VendorSimulated\Megger\Normal\Normal_3_Megger.csv,Megger,Normal,T0015,500,Megger,train
Normal_3_Doble.csv,VendorSimulated\Doble\Normal\Normal_3_Doble.csv,Doble,Normal,T0016,500,Doble,test
Normal_4.csv,Original\Normal\Normal_4.csv,Original,Normal,T0017,500,Original,val
Normal_4_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_4_Omicron.csv,Omicron,Normal,T0018,500,Omicron,train
Normal_4_Megger.csv,VendorSimulated\Megger\Normal\Normal_4_Megger.csv,Megger,Normal,T0019,500,Megger,val
Normal_4_Doble.csv,VendorSimulated\Doble\Normal\Normal_4_Doble.csv,Doble,Normal,T0020,500,Doble,train
Normal_5.csv,Original\Normal\Normal_5.csv,Original,Normal,T0021,500,Original,train
Normal_5_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_5_Omicron.csv,Omicron,Normal,T0022,500,Omicron,train
Normal_5_Megger.csv,VendorSimulated\Megger\Normal\Normal_5_Megger.csv,Megger,Normal,T0023,500,Megger,train
Normal_5_Doble.csv,VendorSimulated\Doble\Normal\Normal_5_Doble.csv,Doble,Normal,T0024,500,Doble,train
Normal_6.csv,Original\Normal\Normal_6.csv,Original,Normal,T0025,500,Original,train
Normal_6_Omicron.csv,VendorSimulated\Omicron\Normal\Normal_6_Omicron.csv,Omicron,Normal,T0026,500,Omicron,train
Normal_6_Megger.csv,VendorSimulated\Megger\Normal\Normal_6_Megger.csv,Megger,Normal,T0027,500,Megger,train
